Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Pflaume;getrocknet ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;958;227;0.4;0.2;0.1;0.1;0;55.4;38.1;<0.4;5.1;1.6;0;0;34.9;2;1;0;15;15;0.03;0.03;0.25;0;0.43;1;0.38;<0.5;0;0.41;610;3;11;50;30;66;0.4;0.8;0.3;<0.2;ja;ja;ja;ja
Pflaume;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;203;48;0.2;0;0;0.1;0;10.2;8.8;0;1.6;0.6;0;0;83.7;30;15;0;179;176;0.04;0.04;0.03;0;0.45;2;0.17;5.2;0;0.86;160;1.7;1.5;8.3;7.4;16;0.3;1.4;0.1;0.6;ja;ja;ja;ja
Pflaumenkuchen;hausgemacht, gebacken (mit Blätterteig) ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;591;141;6.7;2.8;2.7;0.8;18;16.9;7.6;8.3;1.4;2.6;0.3;0;72.4;25;17;8;103;101;0.04;0.06;0.03;0.08;0.32;3.8;0.26;2.8;0.1;1.31;140;110;170;19;8.2;36;0.3;3.8;0.2;1.9;ja;nein;nein;nein
Pflaumenkuchen;hausgemacht, gebacken (mit Blätterteig) ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;591;141;6.7;2.8;2.7;0.8;18;16.9;7.6;8.3;1.4;2.6;0.3;0;72.4;25;17;8;103;101;0.04;0.06;0.03;0.08;0.32;3.8;0.26;2.8;0.1;1.31;140;110;170;19;8.2;36;0.3;3.8;0.2;1.9;ja;nein;nein;nein
Pflaumenkuchen;hausgemacht, gebacken (mit Blätterteig) ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;591;141;6.7;2.8;2.7;0.8;18;16.9;7.6;8.3;1.4;2.6;0.3;0;72.4;25;17;8;103;101;0.04;0.06;0.03;0.08;0.32;3.8;0.26;2.8;0.1;1.31;140;110;170;19;8.2;36;0.3;3.8;0.2;1.9;ja;nein;nein;nein
Pflaumenkuchen;hausgemacht, gebacken (mit Kuchenteig) ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;601;143;6.5;2.8;2.5;0.8;18;17.6;7.6;9;1.5;2.9;0.2;0;71.7;25;17;8;101;101;0.05;0.06;0.05;0.08;0.32;3.7;0.27;2.8;0.1;1.27;140;89;140;20;11;44;0.5;3.8;0.3;1.9;ja;nein;nein;nein
Pflaumenkuchen;hausgemacht, gebacken (mit Kuchenteig) ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;601;143;6.5;2.8;2.5;0.8;18;17.6;7.6;9;1.5;2.9;0.2;0;71.7;25;17;8;101;101;0.05;0.06;0.05;0.08;0.32;3.7;0.27;2.8;0.1;1.27;140;89;140;20;11;44;0.5;3.8;0.3;1.9;ja;nein;nein;nein
Pflaumenkuchen;hausgemacht, gebacken (mit Kuchenteig) ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;601;143;6.5;2.8;2.5;0.8;18;17.6;7.6;9;1.5;2.9;0.2;0;71.7;25;17;8;101;101;0.05;0.06;0.05;0.08;0.32;3.7;0.27;2.8;0.1;1.27;140;89;140;20;11;44;0.5;3.8;0.3;1.9;ja;nein;nein;nein
Pilz (Durchschnitt);gedünstet (ohne Zugabe von Fett und Salz) ;Pilze zubereitet ;Pilze ;pro 100g essbarer Anteil;142;34;0.4;0.1;0;0.2;0;0.7;0.2;0.1;6;3.9;0;0;90.2;26;13;0;159;159;0.14;0.39;0.05;0;6.94;15.5;2.19;3.3;3.1;0.16;380;4.4;39;8.9;13;110;2.5;10;0.8;k.A.;ja;ja;ja;ja
Pilz (Durchschnitt);roh ;Pilze frisch ;Pilze ;pro 100g essbarer Anteil;122;29;0.4;0.1;0;0.2;0;0.6;0.2;0.1;4.9;3.5;0;0;91.7;22;11;0;130;130;0.14;0.38;0.06;0;7.12;21.1;2.19;3.7;2.6;0.14;400;4.2;34;7.6;13;99;2.4;8.7;0.8;k.A.;ja;ja;ja;ja
Pilzrisotto;gekocht ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;538;128;3.8;1.9;1.4;0.3;7;18.5;0.6;16.9;1.5;4.1;0.5;0;72.4;28;27;26;12;12;0.05;0.14;0.03;0.08;2.1;6.4;0.47;0.4;0.6;0.33;54;210;370;71;10;81;0.2;3.3;0.6;k.A.;ja;ja/nein;ja/nein;ja
Pilzsauce;gebunden ;Saucen;Verschiedenes;pro 100g essbarer Anteil;547;132;8.9;5.4;2.1;0.5;28;8.5;4;4.4;0.7;3.9;0.6;0;78.1;89;86;83;37;37;0.05;0.26;0.03;0.13;1.21;4.3;0.48;0.8;0.4;0.23;170;250;410;110;11;90;0.1;8.7;0.5;k.A.;ja;nein;nein;ja
Pilzsuppe ;;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;160;38;1.2;<0.5;0.2;0.5;0;5.5;2;3.5;<0.5;1.1;0.9;0;90.2;27;22;17;60;60;0.03;0.07;0.01;0;0.4;3;0.1;0;0;0.14;68;370;290;40;5;36;0.2;4.9;0.3;k.A.;ja;nein;nein;ja
Pinienkerne ;;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;2840;688;61.9;4.3;15.7;25.7;0;13;4.9;5;6.3;16.5;0;0;2.2;0;0;0;0;Sp.;0.49;0.26;0.22;0;3.33;63.4;0.41;<0.5;0;11.9;810;1.9;61;20;370;690;6.5;11;5.8;1;ja;ja;ja;ja
Pistazie ;;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;2460;594;45.4;5.6;23.8;13.7;0;17.6;7.7;1.7;10;23.8;0;0;3.9;35;18;0;211;211;0.43;0.24;0.9;0;1.1;68.4;0.52;5.6;0;1.64;1000;1;40;92;120;470;2.8;5;3.3;6.8;ja;ja;ja;ja
Pizza al tonno;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;948;226;7.6;3;3.4;0.6;17;26.5;1.3;24.9;1.5;12;0.8;0;52.7;100;92;84;97;97;0.07;0.1;0.11;0.64;1.82;11.6;0.24;2.9;0.3;1.44;190;300;570;84;15;130;0.6;1.9;0.9;k.A.;nein;nein;nein;nein
Pizza Calzone;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;940;224;7.7;3;3.5;0.6;16;26.5;1.4;24.9;1.5;11.4;0.9;0;53.2;57;49;41;97;97;0.14;0.11;0.1;0.29;1.27;11.1;0.28;10.2;0.1;1.34;210;360;730;85;15;150;0.5;2.4;1.1;k.A.;nein;nein;nein;nein
Pizza Hawaii;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;819;195;6.3;2.5;2.9;0.5;13;24.2;3.5;20.5;1.5;9.5;0.7;0;58.7;49;41;34;89;89;0.13;0.1;0.09;0.24;1.1;10;0.27;9.9;0.1;1.13;190;300;610;73;15;130;0.5;2;0.9;k.A.;nein;nein;nein;nein
Pizza Margherita;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1000;238;8.4;3.3;3.8;0.7;12;29.9;1.5;28.1;1.7;9.9;0.7;0;50.4;64;55;46;110;110;0.08;0.1;0.07;0.32;0.66;12.3;0.23;3.2;0.1;1.5;180;290;640;94;14;130;0.5;2.1;1;k.A.;ja;nein;nein;nein
Pizza mit Gemüse;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;523;124;3.1;1.2;1.4;0.4;4;17.4;1.7;15.4;1.9;5.7;0.4;0;72.2;41;28;15;157;157;0.08;0.1;0.09;0.1;1;21.4;0.48;14.2;0.3;0.75;240;140;330;50;16;80;0.8;6.1;0.6;k.A.;ja;nein;nein;nein
Pizza mit Mascarpone und Rucola;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1000;239;9.8;4.4;4;0.7;16;27.6;1.7;25.7;1.6;9.4;0.7;0;51.9;95;76;56;234;234;0.08;0.11;0.07;0.3;0.62;16.8;0.24;6.4;0.1;1.43;190;270;590;98;13;120;0.6;3.3;0.9;k.A.;ja;nein;nein;nein
Pizza Prosciutto e Funghi;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;857;204;6.9;2.7;3.1;0.6;14;23.9;1.3;22.4;1.6;10.7;0.8;0;57.3;51;44;37;88;88;0.14;0.14;0.1;0.26;1.55;11.7;0.46;9.4;0.3;1.22;230;330;660;77;15;150;0.6;4.3;1;k.A.;nein;nein;nein;nein
Pizza Prosciutto;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;917;218;6.4;2.2;3.2;0.6;13;28.7;1.4;26.9;1.6;10.6;0.9;0;53.1;42;35;27;93;93;0.15;0.1;0.1;0.19;1.34;11.2;0.29;11.1;0;1.42;220;380;710;60;15;130;0.6;2.1;0.9;k.A.;nein;nein;nein;nein
Pizza Quattro Formaggi;gebacken ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1250;297;10.6;5;3.9;0.8;20;37.2;0.2;36.6;1.8;12.3;1.1;0;38.6;66;63;60;32;32;0.08;0.11;0.05;0.32;0.41;12.1;0.3;0;0.2;1.04;120;450;760;210;16;180;0.5;6.8;1.2;k.A.;ja;nein;nein;nein
Pizzateig (mit Olivenöl);ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;967;229;3.6;0.5;2.2;0.6;0;41.2;0.2;40.6;2;7;0.7;0;46.8;0;0;0;3;3;0.11;0.04;0.04;0;0.4;19.8;0.24;0;0;1;110;290;470;5.9;9.4;44;0.4;0.6;0.4;1.4;ja;ja;ja;nein
Plätzli (Durchschnitt aus Geflügel;Kalb, Rind, Schwein), gebraten (ohne Zusatz von Fett und Salz) ;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;611;145;3.1;1.1;1.4;0.4;78;0.1;0;0;0;29.2;0.2;0;67.7;5;5;4;3;3;0.43;0.21;0.41;1.05;7.82;7.4;0.91;0;0.4;0.49;360;68;110;10;27;230;1.5;1.8;3;k.A.;nein;nein;ja;ja
Plätzli (Durchschnitt aus Rind;Kalb, Schwein, Geflügel), paniert, gebraten ;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;976;233;10.8;1.7;6.8;1.5;95;10.1;0.5;9.5;0.6;23.5;0.8;0;55.2;17;17;17;2;2;0.45;0.19;0.43;1.07;6.48;18.7;1.1;0;0.6;2.75;350;340;500;18;24;210;1.4;6.4;2.4;15;nein;nein;ja;ja
Plätzli (Durchschnitt aus Rind;Kalb, Schwein, Geflügel), roh  ;Fleisch frisch;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;478;113;2.7;0.9;1.2;0.4;57;0.1;0;0;0;22.2;0.1;0;75.1;4;4;4;3;3;0.45;0.17;0.45;0.99;6.97;7.1;0.8;0;0.3;0.42;340;58;80;7.5;22;190;1.1;1.3;2.3;k.A.;nein;nein;ja;ja
Polenta nera (aus Maisgriess und Buchweizenmehl);gekocht ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;466;111;4.7;2.7;1.2;0.3;12;12.6;0.2;12.3;0.8;4.1;1.1;0;77.7;42;40;38;27;27;0.03;0.05;0.05;1.06;1.18;25.7;0.28;0;0.1;0.14;91;440;370;76;24;84;0.5;4.6;0.5;k.A.;ja;ja;ja;ja
Pommes Chips ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;2240;538;34.8;2.5;25.7;4.7;0;49.3;2.5;46.8;3.8;4.9;1.2;0;7.2;2;1;0;12;12;0.39;0.05;1.06;0;1.23;60.5;0.86;32.5;0;2.89;880;500;870;14;40;92;0.9;8;0.6;k.A.;ja;ja;ja;ja
Pommes Chips fettreduziert ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1960;468;22.1;2.5;6.6;11.9;0;59.2;3;56.3;4.5;5.9;1.2;0;8.3;2;1;0;15;15;0.46;0.06;1.27;0;1.48;72.8;1.04;39;0;2.63;1060;490;880;17;48;110;1.1;9.6;0.8;k.A.;ja;ja;ja;ja
Pommes Frites (im Ofen gebacken);ungesalzen Ofen-Pommes;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;972;232;9.1;0.7;6.6;1.2;0;33;1.6;31.3;2.5;3.3;0;0;52.1;2;1;0;9;9;0.28;0.03;0.69;0;0.82;41.6;0.58;22.2;0;2.82;590;16;110;9.5;27;61;0.6;5.2;0.4;k.A.;ja;ja;ja;nein
Pommes Frites (in HO Sonnenblumenöl frittiert);ungesalzen ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1200;286;15.4;1.1;11.3;2.1;0;32.4;1.6;30.8;2.5;3.2;0;0;46.5;2;1;0;8;8;0.25;0.03;0.7;0;0.81;39.8;0.57;21.4;0;1.3;580;15;100;9.4;26;60;0.6;5.1;0.4;k.A.;ja;ja;ja;nein
Popcorn ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1550;367;4.2;0.6;1.1;1.9;0;62.9;1.2;61.7;15;12;0;0;4.1;11;5;0;63;63;0.2;0.2;0.2;0;2;23;0.4;0;0;11;300;4;8;10;110;300;2.7;0;1.7;k.A.;ja;ja/nein;ja/nein;ja
Poulet;Brust, mit Haut, roh ;Fleisch frisch;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;637;152;6.5;2.1;3.3;1.3;70;0;0;k.A.;0;23.3;0.1;0;69.9;12;12;12;0;0;0.08;0.14;0.77;0.4;k.A.;10;0.87;0;1.5;0.62;320;34;69;3.9;26;210;0.3;10;0.5;k.A.;nein;nein;ja;ja
Poulet;Brust, ohne Haut, roh ;Fleisch frisch;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;455;107;1;0.3;0.4;0.3;63;0;0;0;0;24.6;0.1;0;72.7;6;6;6;0;0;0.16;0.11;0.77;0.29;11.03;12;0.87;0;1.5;0.62;350;36;80;3.3;27;220;0.3;0.9;0.5;14;nein;nein;ja;ja
Poulet;Brust, Schnitzel oder Geschnetzeltes, gebraten (ohne Zusatz von Fett und Salz) ;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;542;128;0.8;0.2;0.3;0.2;79;0;0;0;0;30.1;0.1;0;69.1;6;6;6;0;0;0.14;0.14;0.53;0.24;11.03;7.5;0.87;0;1.4;0.58;400;38;100;4.1;27;230;0.4;1.2;0.6;18;nein;nein;ja;ja
Poulet;ganz, mit Haut, gebraten (ohne Zusatz von Fett und Salz) ;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;807;193;10.3;2.8;4.5;1.5;103;0;0;0;0;25.1;0.2;0;64.6;12;12;12;0;0;0.09;0.18;0.4;0.35;6.4;6.4;0.9;2.7;0;0.07;210;79;92;15;21;170;0.9;13;1.3;k.A.;nein;nein;ja;ja
Poulet;ganz, mit Haut, roh ;Fleisch frisch;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;701;168;10.3;2.8;4.5;1.5;77;0;0;0;0;18.8;0.2;0;69.8;12;12;12;0;0;0.11;0.15;0.5;0.4;6;8;0.9;2.5;0;0.07;260;70;69;12;20;160;0.7;10;1;k.A.;nein;nein;ja;ja
Poulet;Schenkel, mit Haut, gebraten (ohne Zusatz von Fett und Salz) ;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;783;187;10.2;3.2;5;1.8;107;0;0;k.A.;0;23.9;0.2;0;65.9;30;30;30;0;0;0.11;0.18;0.46;0.67;4.77;8;0.87;0;1.5;0.66;240;71;130;7.2;21;190;0.6;11;1.3;37;nein;nein;ja;ja
Poulet;Schenkel, mit Haut, roh ;Fleisch frisch;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;682;163;10.2;3.2;5;1.8;80;0;0;k.A.;0;17.9;0.2;0;68.9;30;30;30;0;0;0.14;0.15;0.57;0.77;4.47;10;0.87;0;1.5;0.62;300;63;100;5.7;20;180;0.5;8;1;28;nein;nein;ja;ja
Poulet;Schenkel, ohne Haut, roh ;Fleisch frisch;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;564;135;6.2;1.9;3;1.5;86;0;0;k.A.;0;19.7;0.2;0;72.9;5;5;<5;0;0;0.14;0.27;0.38;0.4;k.A.;10;0.87;0;1.5;0.62;300;76;80;5.6;20;190;0.5;5;0.9;k.A.;nein;nein;ja;ja
Preiselbeere;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;153;36;0.5;0;0.1;0.3;0;6.2;6.1;0.1;2.9;0.3;0;0;88.4;2;1;0;9;9;0.02;0.02;0.01;0;0.1;3;0;12;0;0.99;81;2;4;14;6;10;0.5;5;0.2;k.A.;ja;ja;ja;ja
Prussien ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1830;438;22.4;13.2;5.2;1.3;59;53.8;27.4;26;1.2;4.7;0.8;0;18.3;205;198;190;89;89;0.06;0.02;0.06;0;0.12;3;0.14;0;0.4;0.58;75;310;480;10;14;52;0.6;0.6;0.5;1;ja;nein;nein;nein
Prussien ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1830;438;22.4;13.2;5.2;1.3;59;53.8;27.4;26;1.2;4.7;0.8;0;18.3;205;198;190;89;89;0.06;0.02;0.06;0;0.12;3;0.14;0;0.4;0.58;75;310;480;10;14;52;0.6;0.6;0.5;1;ja;nein;nein;nein
Pudding;Caramel ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;527;125;2.1;1.4;0.6;0.1;12;23;20.1;2.9;0.1;3.4;0.2;0;69.3;38;38;37;8;8;0.03;0.2;0.03;0.3;0.1;8;Sp.;0;0.1;0.16;150;70;95;94;9;77;Sp.;6.2;0.3;k.A.;ja;nein;nein;ja
Pudding;Schokolade ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;511;121;2.6;0.5;1.1;0.9;3;21;12.1;8.9;1;3;0.3;0;71.2;25;24;22;19;19;0.14;0.16;0.02;0.08;0.3;3;0.2;2;0;0.11;180;130;51;90;14;80;0.5;3.2;0.4;k.A.;ja;nein;nein;ja
Pudding;Vanille ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;429;102;2.1;0.3;0.9;0.8;7;18;10.4;7.6;0.1;2.8;0.3;0;76.2;31;30;29;13;13;0.1;0.14;0.02;0.09;0.3;0;0.3;0;0;0.13;120;140;120;96;10;40;0.1;5.9;0.3;k.A.;ja;nein;nein;ja
Quark;mit Früchten, gezuckert ;Käse, Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;471;112;2.4;1.4;0.6;0.1;8;14.1;13.4;0;0.1;8.4;0.1;0;74.5;28;26;25;18;18;0.01;0.34;0.03;0.37;0.27;16.4;0.3;0.6;0.1;0.08;120;27;88;93;8.6;120;0;20;0.4;k.A.;ja;nein;nein;ja
Quark;nature, halbfett ;Käse, Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;415;99;5;3;1.2;0.2;17;4.1;3.4;0;0;9.4;0.1;0;81.3;54;52;51;16;16;0.01;0.41;0.03;0.47;0.3;18.6;0.4;0.2;0.1;0.13;130;32;98;110;9.3;140;0;21;0.4;k.A.;ja;nein;nein;ja
Quark;nature, mager ;Käse, Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;257;61;0.2;0.1;0;0;Sp.;4.2;3.5;0;0;10.6;0.1;0;83.8;3;3;3;1;1;0.01;0.39;0.04;0.42;0.31;19.4;0.29;0.1;0;0;140;33;100;110;9.9;150;0;27;0.5;k.A.;ja;nein;nein;ja
Quark;nature, Rahm ;Käse, Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;758;183;15.6;9.4;3.7;0.7;53;3.7;3.2;0;0;6.9;0.1;0;72.8;164;160;156;49;49;0.02;0.3;0.03;0.38;0.28;16.7;0.26;0.4;0.2;0.4;120;29;86;93;8.1;110;0;8.5;0.3;k.A.;ja;nein;nein;ja
Quarkblätterteig (mit Butter);ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1670;401;28.3;16.8;6.6;1.6;78;29;1.3;27.2;1.3;7.1;0.8;0;34.8;290;280;270;118;118;0.09;0.12;0.07;0.12;0.22;11.7;0.27;0.1;0.4;0.73;110;330;520;38;16;89;0.6;3.2;0.6;k.A.;ja;nein;nein;nein
Quarkblätterteig (mit pflanzlichem Fett);ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1650;396;27.7;9.3;11.6;4.4;17;28.9;1.1;27.3;1.3;7.1;0.9;0;35.5;139;133;126;77;77;0.09;0.12;0.07;0.13;0.27;12.2;0.3;0.1;1.1;5.8;120;350;550;37;16;90;0.6;3.6;0.6;k.A.;ja;nein;nein;nein
Quiche Lorraine;gebacken (mit Blätterteig) ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1210;291;23.4;12.5;6.6;1.5;131;11.5;1.6;9.7;0.5;8.5;1.2;0;56.4;202;197;191;71;71;0.12;0.14;0.07;0.38;0.69;8.9;0.61;4.2;0.9;0.73;140;470;750;48;13;110;0.7;11;0.9;k.A.;nein ;nein;nein;nein
Quiche Lorraine;gebacken (mit Blätterteig) ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1210;291;23.4;12.5;6.6;1.5;131;11.5;1.6;9.7;0.5;8.5;1.2;0;56.4;202;197;191;71;71;0.12;0.14;0.07;0.38;0.69;8.9;0.61;4.2;0.9;0.73;140;470;750;48;13;110;0.7;11;0.9;k.A.;nein ;nein;nein;nein
Quiche Lorraine;gebacken (mit Kuchenteig) ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1230;295;22.2;11.7;6.3;1.5;127;14.5;1.6;12.8;0.6;9;1.2;0;53.9;191;185;180;66;66;0.13;0.14;0.07;0.38;0.71;9.3;0.63;4.2;0.9;0.72;150;460;740;49;14;120;0.7;11;1;k.A.;nein;nein;nein;nein
Quiche Lorraine;gebacken (mit Kuchenteig) ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;1230;295;22.2;11.7;6.3;1.5;127;14.5;1.6;12.8;0.6;9;1.2;0;53.9;191;185;180;66;66;0.13;0.14;0.07;0.38;0.71;9.3;0.63;4.2;0.9;0.72;150;460;740;49;14;120;0.7;11;1;k.A.;nein;nein;nein;nein
Quinoa;gekocht (ohne Zugabe von Salz und Fett) ;Getreide;Getreide und Getreideprodukte;pro 100g essbarer Anteil;505;120;1.6;0.2;0.4;0.8;0;20.5;0.6;19.6;2.2;4.8;0;0;71;0;0;0;3;3;0.09;0.08;0.09;0;0.13;29.6;0.24;0.1;0;1.38;220;3.3;37;32;95;110;2.7;0.6;0.8;0.4;ja;ja;ja;ja
Quinoa;roh ;Getreide;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1550;368;5;0.5;1.3;2.6;k.A.;62.4;1.8;59.9;6.6;14.8;0;0;12.6;1;1;0;8;8;0.41;0.32;0.42;0;0.45;114.6;0.83;0.5;0;4;800;9.6;110;80;280;330;8;1.6;2.5;1.1;ja;ja;ja;ja
Quitte;gekocht, abgetropft (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;203;49;0.6;0;0.2;0.3;0;7.3;7.3;0;5.9;0.5;0;0;85.6;5;3;0;30;23;0.02;0.03;0.04;0;0.2;5;0.08;6.5;0;0.5;140;1.5;2.1;12;8.2;20;0.7;1.3;0.3;k.A.;ja;ja;ja;ja
Quitte;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;197;47;0.5;0;0.2;0.2;0;7.3;7.3;0;5.9;0.4;0;0;84.5;4;2;0;24;24;0.03;0.03;0.04;0;0.2;8;0.08;13;0;0.4;180;2;1.7;10;8.2;20;0.6;1;0.2;k.A.;ja;ja;ja;ja
Raclettekäse ;;Käse, Hartkäse ;Milch und Milchprodukte;pro 100g essbarer Anteil;1480;357;27.9;16.7;6.5;1.3;84;0;0;0;0;25.9;1.8;0;41.4;272;264;255;100;100;0.01;0.29;0.06;1.55;0.2;49;0.25;Sp.;0.3;0.68;70;730;1100;670;27;490;0.1;11;3.9;k.A.;ja;nein;nein;ja
Radieschen;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;72;17;0.1;0;0;0.1;0;2.1;2.1;0;1.6;1.1;0.1;0;94.1;2;1;0;10;10;0.02;0.03;0.05;0;0.25;20.3;0.1;19.7;0;0.01;240;21;44;26;9.4;18;0.4;1.2;0.2;k.A.;ja;ja;ja;ja
Rahm (Durchschnitt) ;;Rahm ;Milch und Milchprodukte;pro 100g essbarer Anteil;1040;252;25.4;15.3;6;1.2;76;3.4;3.4;0;0;2.3;0.1;0;68.8;278;268;259;114;114;0.02;0.14;0.02;0.32;0.08;4.3;0.36;0.6;0.4;0.6;130;48;69;84;7.5;78;0;9.5;0.2;k.A.;ja;nein;nein;ja
Rahmglace;Frucht ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;775;185;8;5;2.6;0.3;26;24.7;23.7;Sp.;0;3.5;0.2;0;59.8;121;107;94;160;160;0.04;0.26;0.07;0;Sp.;9;Sp.;1;0.1;0.17;180;61;Sp.;110;Sp.;99;0.5;Sp.;0.4;k.A.;ja;nein;nein;ja
Rahmkaramellen Rahmbonbons;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1490;351;3.6;2.2;1.1;0.1;11;79.3;79.3;0;0;0.4;0.3;0;16;43;41;39;21;21;0.03;0.04;0;Sp.;0.01;1;0.04;0.1;0.1;0.11;120;120;25;21;5;16;0.8;1.1;0.1;k.A.;ja;nein;nein;ja
